"Don't use in magento 2.1 see at <a href=""https://github.com/magento/magento2/issues/4999"" target=""_blank"">here</a>","Ne pas utiliser dans magento 2.1, voir <a href=""https://github.com/magento/magento2/issues/4999"" target=""_blank"">ici</a>"
Group Description,Description du groupe
Success message,Message de réussite
Connection timeout,Délai de connexion expiré
Ecommerce Configuration,Configuration du commerce électronique
Subscribe all customers to the newsletter,Abonnez tous les clients à la newsletter
First Date,Premier rendez-vous
Send Promo Rules and Promo Codes,Envoyer les règles de promotion et les codes promotionnels
Prices including taxes,Prix TTC
"You must configure Price Display Settings in Sales/Tax to ""including taxes""","Vous devez configurer les paramètres d'affichage des prix dans Ventes/Taxes sur ""TTC"""
Campaign Attribution Action,Action d'attribution de campagne
Order attribution based on customer actions,Attribution de commande en fonction des actions du client
Reset Errors and retry,Réinitialiser les erreurs et réessayer
Truncate the errors table and retry all the registers with error,Tronquer la table des erreurs et réessayer tous les registres avec erreur
Reset Errors and no retry,Réinitialiser les erreurs et ne pas réessayer
Truncate the errors table and no retry all the registers with error,Tronquer la table des erreurs et ne pas réessayer tous les registres avec erreur
Months to clear the error table,Mois pour effacer la table des erreurs
How many month before clean the error from the error table automatically and not retry,Combien de mois avant de nettoyer automatiquement l'erreur de la table des erreurs et de ne pas réessayer
Delete Store,Supprimer la boutique
"Proceed with caution, this delete the mailchimp store for all the connected magento stores","Procédez avec prudence, cela supprime la boutique Mailchimp pour toutes les boutiques Magento connectées"
Resync all products,Resynchroniser tout produits
Abandoned Cart Configuration,Configuration du panier abandonné
Redirect Page,Page de redirection
Save Email to the Quote before place Order,Enregistrer l'e-mail dans le devis avant de passer la commande
Select No to prevent saving customer Email to the quote before Order was placed,Sélectionnez Non pour empêcher l'enregistrement de l'e-mail du client dans le devis avant la passation de la commande
"Must be logged in to MailChimp's website previously to see the automation wizard, re-open if not","Vous devez être connecté au site Web de MailChimp au préalable pour voir l'assistant d'automatisation, rouvrez-le si ce n'est pas le cas"
All Store Views,Toutes les vues de la boutique
Store View,Vue de la boutique
ID,ID
Status,Statut
Last modified,Dernière modification
#Customers,#Clients
#Orders,#Commandes
#Products,#Produits
#Carts,#Paniers
#Subscribers,#Abonnés
Batch JSON,Lot JSON
Job Code,Code de tâche
Messages,Messages
Created at,Créé à
Scheduled at,Planifié à
Executed at,Exécuté à
Finished at,Terminé à
Type,Type
Title,Titre
Date,Date
Action,Action
Create New Mailchimp Store,Créer une nouvelle boutique Mailchimp
MC Account name,Nom du compte MC
Store name,Nom de la boutique
List name,Nom de la liste
Mailchimp Sync,Synchronisation Mailchimp
Sync all customers or only customer with orders,Synchroniser tous les clients ou uniquement les clients avec les commandes

