Group Description,Descripción del grupo
Success message,Mensaje de éxito
Connection timeout,Tiempo de espera de conexión
Ecommerce Configuration,Configuración de comercio electrónico
Subscribe all customers to the newsletter,Suscribir a todos los clientes al boletín informativo
First Date,Primera fecha
Send Promo Rules and Promo Codes,Enviar reglas de promoción y códigos de promoción
Prices including taxes,Precios con impuestos incluidos
"You must configure Price Display Settings in Sales/Tax to ""including taxes""","Debe configurar la configuración de visualización de precios en Ventas/Impuestos en ""con impuestos incluidos"""
Campaign Attribution Action,Acción de atribución de campaña
Order attribution based on customer actions,Atribución de pedidos basada en acciones del cliente
Reset Errors and retry,Restablecer errores y volver a intentar
Truncate the errors table and retry all the registers with error,Truncar la tabla de errores y volver a intentar todos los registros con error
Reset Errors and no retry,Restablecer errores y no volver a intentar
Truncate the errors table and no retry all the registers with error,Truncar la tabla de errores y no volver a intentar todos los registros con error
Months to clear the error table,Meses para borrar la tabla de errores
How many month before clean the error from the error table automatically and not retry,¿Cuántos meses antes de limpiar el error de la tabla de errores automáticamente y no volver a intentarlo?
Delete Store,Eliminar tienda
"Proceed with caution, this delete the mailchimp store for all the connected magento stores","Proceda con precaución, esto elimina la tienda de Mailchimp para todas las tiendas Magento conectadas"
Resync all products,Resincronizar todos los productos
Abandoned Cart Configuration,Configuración de carrito abandonado
Redirect Page,Redireccionamiento Página
Save Email to the Quote before place Order,Guardar correo electrónico en la cotización antes de realizar el pedido
Select No to prevent saving customer Email to the quote before Order was placed,Seleccione No para evitar guardar el correo electrónico del cliente en la cotización antes de realizar el pedido
"Must be logged in to MailChimp's website previously to see the automation wizard, re-open if not",Debe haber iniciado sesión en el sitio web de MailChimp previamente para ver el asistente de automatización; vuelva a abrirlo si no lo está
All Store Views,Todas las vistas de la tienda
Store View,Vista de la tienda
ID,ID
Status,Estado
Last modified,Última modificación
#Customers,#Clientes
#Orders,#Pedidos
#Products,#Productos
#Carts,#Carritos
#Subscribers,#Suscriptores
Batch JSON,JSON por lotes
Job Code,Código de trabajo
Messages,Mensajes
Created at,Creado en
Scheduled at,Programado en
Executed at,Ejecutado en
Finished at,Terminado en
Type,Tipo
Title,Título
Date,Fecha
Action,Acción
Create New Mailchimp Store,Crear nueva tienda de Mailchimp
MC Account name,Nombre de la cuenta de MC
Store name,Nombre de la tienda
List name,Nombre de la lista
Mailchimp Sync,Sincronización de Mailchimp
Sync all customers or only customer with orders, Sincronza todos los clientes o solo los que tienen ordenes
